index_x,sex,cage,mouseid,Eating,Drinking,Climbing_the_net,Curling_up,Straightening_up,Bending,Grooming,Standing,Stillness,Walking,Travel_distance,Group_of_three_mice,Rest,Rest_count,Short_sleep,Short_sleep_count,Long_sleep,Long_sleep_count,Group_of_two_mice,testage3,dietary,TestAge,Sex,Dietary,index_y,median_area,median_c,median_k,median_len,q1_area,q1_c,q1_k,q1_len,q3_area,q3_c,q3_k,q3_len,mouse_uid
1578,0,D11,mouse1,10514.6,534.3,59.65,11067.35,45720.05,3254.75,29.2,15136.65,1157.85,943.35,18.2,3608.9,14863.1,83,17514.25,41,12551.55,13,32710.45,7,Control,7.0,0,Control,175.0,8693.0,93.3333333333333,96.0,378.0,7794.0,80.6666666666667,81.6666666666667,356.666666666667,10013.0,107.666666666667,110.666666666667,408.666666666667,male_D11
920,1,D07,mouse3,6898.55,419.95,112.0,9475.15,36660.2,380.4,9.9,26515.2,157.95,501.8,11.55,1771.0,18861.6,102,10399.45,24,13039.45,15,33911.45,18,Control,18.0,1,Control,606.0,8070.0,88.3333333333333,93.0,363.333333333333,7273.0,77.6666666666667,80.3333333333333,344.0,9068.0,99.6666666666667,106.0,386.0,female_D07
1015,1,D22,mouse2,8351.8,356.6,137.55,11073.45,38780.15,1207.75,204.15,19105.45,299.55,1287.65,20.86,1845.2,17658.4,100,12250.4,30,5606.05,6,29279.7,19,Control,19.0,1,Control,666.0,7704.0,84.3333333333333,94.0,355.333333333333,6960.0,73.3333333333333,80.0,338.0,8663.33333333333,96.6666666666667,105.0,378.0,female_D22
1142,1,D04,mouse3,11219.0,381.65,5.6,13213.7,51865.95,1052.0,4.85,4942.45,258.95,448.75,10.45,1530.9,23142.95,122,12677.1,30,10173.55,12,19853.55,22,Control,22.0,1,Control,784.0,7968.0,88.6666666666667,91.3333333333333,362.0,7175.33333333333,76.0,77.6666666666667,342.666666666667,8947.66666666667,100.333333333333,107.666666666667,386.0,female_D04
1730,0,D13,mouse3,7571.3,102.0,63.0,10157.15,42959.6,4717.15,5.75,10952.15,1391.65,613.5,10.43,1711.9,16810.75,88,17403.0,42,17183.9,19,18275.85,9,Control,9.0,0,Control,272.0,8613.33333333333,96.0,92.6666666666667,378.666666666667,7680.0,79.3333333333333,79.0,357.333333333333,9727.66666666667,112.333333333333,106.666666666667,401.333333333333,male_D13
1448,0,D13,mouse3,13554.5,657.6,44.9,14387.7,37831.4,3269.4,4.4,1936.2,1014.7,766.8,12.22,1257.9,15086.9,83,8504.0,21,5481.5,6,20654.3,4,Control,4.0,0,Control,60.0,5972.0,78.6666666666667,76.6666666666667,313.333333333333,5203.33333333333,65.3333333333333,65.6666666666667,292.0,7020.0,95.0,88.3333333333333,343.333333333333,male_D13
2058,0,D11,mouse1,6833.05,789.1,27.1,14837.8,51970.85,4555.7,64.55,2000.85,2575.8,683.45,14.05,2876.45,17060.0,96,12512.9,32,19070.2,21,28062.65,14,Control,14.0,0,Control,496.0,8393.0,89.3333333333333,96.0,371.333333333333,7573.66666666667,77.0,84.0,352.0,9697.33333333333,102.333333333333,110.333333333333,399.333333333333,male_D11
279,1,D22,mouse1,2481.8,195.75,93.7,18233.95,46141.9,1021.75,4.0,689.6,371.05,1190.95,17.2,2314.25,11638.6,66,9449.55,22,9381.35,10,20943.15,7,Control,7.0,1,Control,163.0,5980.66666666667,77.6666666666667,78.0,312.0,5338.66666666667,67.6666666666667,69.0,294.666666666667,7058.0,91.3333333333333,86.6666666666667,342.0,female_D22
2002,0,D13,mouse2,6611.2,140.05,2.25,7985.5,47967.95,3229.8,4.9,15342.3,888.5,907.5,15.47,857.55,17476.6,91,15725.5,39,11655.35,13,25107.85,13,Control,13.0,0,Control,456.0,9104.0,97.6666666666667,94.3333333333333,388.0,8176.33333333333,83.0,79.6666666666667,368.0,10205.3333333333,114.333333333333,108.333333333333,412.666666666667,male_D13
1596,0,D17,mouse1,4731.95,39.7,27.4,16140.75,51594.7,2863.15,74.75,16896.35,858.6,1167.3,21.29,3110.65,19585.6,102,13727.25,34,14205.55,16,24349.35,7,Control,7.0,0,Control,181.0,8678.0,99.3333333333333,88.3333333333333,380.0,7640.66666666667,84.6666666666667,76.3333333333333,355.333333333333,9984.33333333333,113.333333333333,104.0,406.0,male_D17
666,1,D11,mouse1,5979.25,235.7,4.75,12301.6,47850.1,2242.7,20.0,8432.35,1123.75,831.5,15.22,2589.4,16626.0,84,13591.8,35,13261.95,14,18786.8,13,Control,13.0,1,Control,430.0,8197.66666666667,94.3333333333333,88.0,366.0,7552.0,83.0,77.6666666666667,352.0,8941.66666666667,106.666666666667,99.6666666666667,382.666666666667,female_D11
1402,0,D22,mouse2,715.0,2.9,1.7,15534.0,50605.3,3524.5,5.6,12998.7,1837.4,1106.0,16.71,2865.6,17634.5,91,13243.3,31,9818.5,12,26717.4,3,Control,3.0,0,Control,45.0,4993.66666666667,69.3333333333333,73.0,285.333333333333,4451.66666666667,61.3333333333333,62.6666666666667,270.0,5786.33333333333,80.3333333333333,82.6666666666667,308.666666666667,male_D22
